objective,alg,params,B_factor,B,f_value,queries,time_sec,size,mem_kb
REVENUE,twin_greedy,B=1181.8515565870616,0.45000000000000001,1181.8515565870616,8704.8190624224699,26301154,25.166128929999999,2026,324
REVENUE,dcs,"B=1313.1683962078462,w=2",0.5,1313.1683962078462,7677.4048734547705,10488,0.015329848,1334,1012
REVENUE,dcms,"B=1313.1683962078462,w=2,eps=0.10000000000000001,alpha=2",0.5,1313.1683962078462,7045.3744971354017,772015,0.67942948800000003,2662,2056
REVENUE,algo9,"B=1313.1683962078462,eps=0.10000000000000001,mode=best(A,G)",0.5,1313.1683962078462,10287.898706198104,9771464,6.8264287919999997,2284,12668
REVENUE,algo10,"B=1313.1683962078462,eps=0.10000000000000001",0.5,1313.1683962078462,10523.363805398601,14027029,10.702190633000001,2136,12728
REVENUE,edl,"B=1313.1683962078462,eps=0.10000000000000001",0.5,1313.1683962078462,8670.6656496788601,9742964,11.296119725,2028,380
REVENUE,twin_greedy,B=1313.1683962078462,0.5,1313.1683962078462,8704.8190624224699,26301154,25.123753492999999,2026,324
REVENUE,dcs,"B=1444.4852358286309,w=2",0.55000000000000004,1444.4852358286309,7735.7633319576398,10488,0.014609495,1264,692
REVENUE,dcms,"B=1444.4852358286309,w=2,eps=0.10000000000000001,alpha=2",0.55000000000000004,1444.4852358286309,6355.4823192033127,789090,0.69146269999999999,2913,1944
REVENUE,algo9,"B=1444.4852358286309,eps=0.10000000000000001,mode=best(A,G)",0.55000000000000004,1444.4852358286309,10287.898706198104,9776706,6.8307638940000004,2284,12784
REVENUE,algo10,"B=1444.4852358286309,eps=0.10000000000000001",0.55000000000000004,1444.4852358286309,10523.363805398601,14041138,10.707538366,2136,12724
REVENUE,edl,"B=1444.4852358286309,eps=0.10000000000000001",0.55000000000000004,1444.4852358286309,8741.5862129569068,9636942,11.329705275,2019,380
REVENUE,twin_greedy,B=1444.4852358286309,0.55000000000000004,1444.4852358286309,8704.8190624224699,26301154,25.113897774000002,2026,380
REVENUE,dcs,"B=1575.8020754494153,w=2",0.59999999999999998,1575.8020754494153,7828.5984148351299,10488,0.014918468000000001,1425,944
REVENUE,dcms,"B=1575.8020754494153,w=2,eps=0.10000000000000001,alpha=2",0.59999999999999998,1575.8020754494153,5905.2053353418514,786246,0.68514655000000002,3192,2052
REVENUE,algo9,"B=1575.8020754494153,eps=0.10000000000000001,mode=best(A,G)",0.59999999999999998,1575.8020754494153,10288.083699921306,9790822,6.8918352819999997,2287,12728
REVENUE,algo10,"B=1575.8020754494153,eps=0.10000000000000001",0.59999999999999998,1575.8020754494153,10523.550461792387,14054130,10.741917409999999,2139,12728
REVENUE,edl,"B=1575.8020754494153,eps=0.10000000000000001",0.59999999999999998,1575.8020754494153,8730.8438393061242,9536044,11.19149824,2022,384
REVENUE,twin_greedy,B=1575.8020754494153,0.59999999999999998,1575.8020754494153,8704.8190624224699,26301154,25.199824221,2026,384
REVENUE,dcs,"B=1707.1189150702,w=2",0.65000000000000002,1707.1189150702,7904.5928201635879,10488,0.015321314000000001,1467,628
REVENUE,dcms,"B=1707.1189150702,w=2,eps=0.10000000000000001,alpha=2",0.65000000000000002,1707.1189150702,5390.1965488285887,766640,0.67276455099999999,3459,1680
REVENUE,algo9,"B=1707.1189150702,eps=0.10000000000000001,mode=best(A,G)",0.65000000000000002,1707.1189150702,10288.083699921306,9796064,6.8321132340000004,2287,12672
REVENUE,algo10,"B=1707.1189150702,eps=0.10000000000000001",0.65000000000000002,1707.1189150702,10523.550461792387,14066488,10.634877120000001,2139,12748
REVENUE,edl,"B=1707.1189150702,eps=0.10000000000000001",0.65000000000000002,1707.1189150702,8723.9833664998805,9452786,11.069623403,2040,320
REVENUE,twin_greedy,B=1707.1189150702,0.65000000000000002,1707.1189150702,8704.8190624224699,26301154,25.174308431,2026,384
