objective,alg,params,B_factor,B,f_value,queries,time_sec,size,mem_kb
MAXCUT,twin_greedy,B=252.27597497847509,0.25,252.27597497847509,20799,3588965,1.525866124,690,264
MAXCUT,dcs,"B=302.73116997417009,w=2",0.29999999999999999,302.73116997417009,19173,4004,0.0014136000000000001,631,384
MAXCUT,dcms,"B=302.73116997417009,w=2,eps=0.10000000000000001,alpha=2",0.29999999999999999,302.73116997417009,20992,201890,0.090107634000000006,736,1436
MAXCUT,algo9,"B=302.73116997417009,eps=0.10000000000000001,mode=best(A,G)",0.29999999999999999,302.73116997417009,22291,1522220,0.88755015100000001,959,2288
MAXCUT,algo10,"B=302.73116997417009,eps=0.10000000000000001",0.29999999999999999,302.73116997417009,22393,1952946,1.7218282039999999,942,2348
MAXCUT,edl,"B=302.73116997417009,eps=0.10000000000000001",0.29999999999999999,302.73116997417009,21813,2939570,1.7052038220000001,758,384
MAXCUT,twin_greedy,B=302.73116997417009,0.29999999999999999,302.73116997417009,21814,3740895,2.310700116,757,0
MAXCUT,dcs,"B=353.18636496986511,w=2",0.34999999999999998,353.18636496986511,19759,4004,0.001459742,664,0
MAXCUT,dcms,"B=353.18636496986511,w=2,eps=0.10000000000000001,alpha=2",0.34999999999999998,353.18636496986511,21838,214689,0.07059348,818,996
MAXCUT,algo9,"B=353.18636496986511,eps=0.10000000000000001,mode=best(A,G)",0.34999999999999998,353.18636496986511,22584,1597486,0.98183332700000003,1024,2168
MAXCUT,algo10,"B=353.18636496986511,eps=0.10000000000000001",0.34999999999999998,353.18636496986511,22804,2018635,2.1837089650000001,994,2552
MAXCUT,edl,"B=353.18636496986511,eps=0.10000000000000001",0.34999999999999998,353.18636496986511,22567,2893951,1.769305098,823,384
MAXCUT,twin_greedy,B=353.18636496986511,0.34999999999999998,353.18636496986511,22539,3856825,2.2183331559999999,821,0
MAXCUT,dcs,"B=403.64155996556019,w=2",0.40000000000000002,403.64155996556019,20252,4004,0.001545905,692,324
MAXCUT,dcms,"B=403.64155996556019,w=2,eps=0.10000000000000001,alpha=2",0.40000000000000002,403.64155996556019,22635,227125,0.099860320000000002,876,1028
MAXCUT,algo9,"B=403.64155996556019,eps=0.10000000000000001,mode=best(A,G)",0.40000000000000002,403.64155996556019,22630,1684020,1.05145216,1055,2552
MAXCUT,algo10,"B=403.64155996556019,eps=0.10000000000000001",0.40000000000000002,403.64155996556019,22906,2108782,2.4336277009999998,1014,2492
MAXCUT,edl,"B=403.64155996556019,eps=0.10000000000000001",0.40000000000000002,403.64155996556019,23040,2859791,2.0951435979999999,885,384
MAXCUT,twin_greedy,B=403.64155996556019,0.40000000000000002,403.64155996556019,23032,3937424,2.1894513579999999,882,384
MAXCUT,dcs,"B=454.09675496125516,w=2",0.45000000000000001,454.09675496125516,20590,4004,0.0013455769999999999,713,384
MAXCUT,dcms,"B=454.09675496125516,w=2,eps=0.10000000000000001,alpha=2",0.45000000000000001,454.09675496125516,23071,241310,0.059512047999999998,939,1604
MAXCUT,algo9,"B=454.09675496125516,eps=0.10000000000000001,mode=best(A,G)",0.45000000000000001,454.09675496125516,22630,1688020,0.93626531400000002,1055,2228
MAXCUT,algo10,"B=454.09675496125516,eps=0.10000000000000001",0.45000000000000001,454.09675496125516,22906,2133404,2.1446217399999998,1014,2552
MAXCUT,edl,"B=454.09675496125516,eps=0.10000000000000001",0.45000000000000001,454.09675496125516,23344,2829533,1.954999785,946,384
MAXCUT,twin_greedy,B=454.09675496125516,0.45000000000000001,454.09675496125516,23319,3984289,2.305304494,945,384
MAXCUT,dcs,"B=504.55194995695018,w=2",0.5,504.55194995695018,21030,4004,0.001359,742,324
