objective,alg,params,B_factor,B,f_value,queries,time_sec,size,mem_kb
MAXCUT,repeat_stream,"B=201.95670741953256,eps=0.10000000000000001",0.10000000000000001,201.95670741953256,15730,575399,0.31141245299999998,160,2188
MAXCUT,algo9,"B=201.95670741953256,eps=0.10000000000000001,mode=best(A,G)",0.10000000000000001,201.95670741953256,44688,3726689,0.59889195100000003,1010,4460
MAXCUT,algo10,"B=201.95670741953256,eps=0.10000000000000001",0.10000000000000001,201.95670741953256,44707,5056742,1.17568842,1007,4400
MAXCUT,dcs,"B=201.95670741953256,w=2",0.10000000000000001,201.95670741953256,34253,5776,0.0018534580000000001,648,320
MAXCUT,algo9,"B=201.95670741953256,eps=0.10000000000000001,mode=best(A,G)",0.10000000000000001,201.95670741953256,44688,3726689,0.60681057400000005,1010,4460
