objective,alg,params,B_factor,B,f_value,queries,time_sec,size,mem_kb
UNKNOWN,dcs,"B=5.0259832392116497,w=2",0.01,5.0259832392116497,240.79000000000002,1282,0.50969662000000004,22,1468
UNKNOWN,dcms,"B=5.0259832392116497,w=2,eps=0.10000000000000001,alpha=2",0.01,5.0259832392116497,263.56999999999999,81023,31.92628757,26,4132
UNKNOWN,algo9,"B=5.0259832392116497,eps=0.10000000000000001,mode=best(A,G)",0.01,5.0259832392116497,287.94999999999999,46862,18.806310490000001,28,4204
UNKNOWN,algo10,"B=5.0259832392116497,eps=0.10000000000000001",0.01,5.0259832392116497,280.86000000000001,99875,38.195736160000003,34,4388
UNKNOWN,edl,"B=5.0259832392116497,eps=0.10000000000000001",0.01,5.0259832392116497,268.38,2306991,698.19492884299996,28,4516
UNKNOWN,twin_greedy,B=5.0259832392116497,0.01,5.0259832392116497,218.03,82702,25.511313339000001,20,1852
UNKNOWN,dcs,"B=10.051966478423299,w=2",0.02,10.051966478423299,270.42000000000002,2014,0.84960888300000004,35,1480
UNKNOWN,dcms,"B=10.051966478423299,w=2,eps=0.10000000000000001,alpha=2",0.02,10.051966478423299,329.19,91158,37.103724423000003,52,4844
UNKNOWN,algo9,"B=10.051966478423299,eps=0.10000000000000001,mode=best(A,G)",0.02,10.051966478423299,316.69999999999999,71375,30.285430891000001,42,4232
UNKNOWN,algo10,"B=10.051966478423299,eps=0.10000000000000001",0.02,10.051966478423299,281.32999999999998,117590,46.087773308999999,33,4160
UNKNOWN,edl,"B=10.051966478423299,eps=0.10000000000000001",0.02,10.051966478423299,301.81,2215360,717.13622231600004,49,3836
UNKNOWN,twin_greedy,B=10.051966478423299,0.02,10.051966478423299,250.54000000000002,113278,41.159131320999997,26,3164
UNKNOWN,dcs,"B=15.077949717634947,w=2",0.029999999999999999,15.077949717634947,254.48000000000002,2014,0.837780258,21,3512
UNKNOWN,dcms,"B=15.077949717634947,w=2,eps=0.10000000000000001,alpha=2",0.029999999999999999,15.077949717634947,309.30000000000001,117914,51.588974931000003,43,5084
UNKNOWN,algo9,"B=15.077949717634947,eps=0.10000000000000001,mode=best(A,G)",0.029999999999999999,15.077949717634947,290.87,62824,25.641450133999999,33,4056
UNKNOWN,algo10,"B=15.077949717634947,eps=0.10000000000000001",0.029999999999999999,15.077949717634947,247.99000000000001,114434,43.763936659000002,25,4008
UNKNOWN,edl,"B=15.077949717634947,eps=0.10000000000000001",0.029999999999999999,15.077949717634947,321.62,2985896,1162.4736158539999,59,5832
UNKNOWN,twin_greedy,B=15.077949717634947,0.029999999999999999,15.077949717634947,315.56,191104,77.014678954999994,60,4124
UNKNOWN,dcs,"B=20.103932956846599,w=2",0.040000000000000001,20.103932956846599,270.80000000000001,2014,0.91435544800000002,25,1476
UNKNOWN,dcms,"B=20.103932956846599,w=2,eps=0.10000000000000001,alpha=2",0.040000000000000001,20.103932956846599,345.05000000000001,139070,62.245702371999997,58,5300
UNKNOWN,algo9,"B=20.103932956846599,eps=0.10000000000000001,mode=best(A,G)",0.040000000000000001,20.103932956846599,260.61000000000001,58019,23.311578081,24,3888
UNKNOWN,algo10,"B=20.103932956846599,eps=0.10000000000000001",0.040000000000000001,20.103932956846599,285.86000000000001,145139,59.873422669999997,38,4520
UNKNOWN,edl,"B=20.103932956846599,eps=0.10000000000000001",0.040000000000000001,20.103932956846599,336.17000000000002,2966695,1196.2645881809999,67,6288
UNKNOWN,twin_greedy,B=20.103932956846599,0.040000000000000001,20.103932956846599,258.48000000000002,120842,43.141758598999999,33,2780
UNKNOWN,dcs,"B=25.129916196058247,w=2",0.050000000000000003,25.129916196058247,285.36000000000001,2014,0.92765376099999997,31,1460
UNKNOWN,dcms,"B=25.129916196058247,w=2,eps=0.10000000000000001,alpha=2",0.050000000000000003,25.129916196058247,332.54000000000002,157927,74.422137961000004,56,7272
UNKNOWN,algo9,"B=25.129916196058247,eps=0.10000000000000001,mode=best(A,G)",0.050000000000000003,25.129916196058247,313.55000000000001,73672,31.537441918999999,38,4044
UNKNOWN,algo10,"B=25.129916196058247,eps=0.10000000000000001",0.050000000000000003,25.129916196058247,309.10000000000002,139880,56.947568263999997,41,4852
UNKNOWN,edl,"B=25.129916196058247,eps=0.10000000000000001",0.050000000000000003,25.129916196058247,355.37,2819445,1134.7761729880001,73,5796
UNKNOWN,twin_greedy,B=25.129916196058247,0.050000000000000003,25.129916196058247,318.83999999999997,160028,61.639857567,48,3156
